"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2023-12-10 17:59:25","ETHUSDT","SELL","2345.41","0.0022ETH","5.159902USDT","0.0051599USDT"
"2023-12-10 17:56:40","ETHUSDT","BUY","2345.31","0.0133ETH","31.192623USDT","0.0000133ETH"
"2023-12-10 17:20:48","BTCUSDT","SELL","43784.01","0.00085BTC","37.2164085USDT","0.03721641USDT"
"2023-12-04 17:01:55","ETHUSDT","BUY","2223.47","0.0202ETH","44.914094USDT","0.0000202ETH"
"2023-10-29 16:17:17","BTCUSDT","SELL","34419.99","0.00434BTC","149.3827566USDT","0.00049464BNB"
"2023-10-25 15:58:27","BTCUSDT","SELL","34895.59","0.0014BTC","48.853826USDT","0.04885383USDT"
"2023-10-21 20:21:33","BTCUSDT","SELL","30051.56","0.00669BTC","201.0449364USDT","0.20104494USDT"
"2023-02-24 14:14:42","BUSDUSDT","SELL","0.9998","336BUSD","335.9328USDT","0BNB"
"2022-12-25 19:58:41","BUSDUSDT","SELL","1.0001","44BUSD","44.0044USDT","0BNB"
"2022-10-10 16:06:44","BUSDUSDT","SELL","1","20BUSD","20USDT","0BNB"
"2022-09-27 23:57:36","XMRUSDT","BUY","144.7","2.779XMR","402.1213USDT","0.002779XMR"
"2022-08-09 18:57:42","USDCUSDT","SELL","0.9997","1000USDC","999.7USDT","0BNB"
"2022-07-10 08:21:04","ETHUSDT","SELL","1187.84","0.0098ETH","11.640832USDT","0.01164083USDT"
"2022-07-10 08:18:58","ETHUSDT","SELL","1189.77","0.0097ETH","11.540769USDT","0.01154077USDT"
"2022-06-27 12:46:03","AVAXUSDT","BUY","20.77","3.26AVAX","67.7102USDT","0.00326AVAX"
"2022-06-27 12:45:43","LINKUSDT","SELL","6.78","1.7LINK","11.526USDT","0.011526USDT"
"2022-06-27 12:45:43","LINKUSDT","SELL","6.78","1.53LINK","10.3734USDT","0.0103734USDT"
"2022-06-27 12:45:43","LINKUSDT","SELL","6.78","1.57LINK","10.6446USDT","0.0106446USDT"
"2022-06-27 12:45:43","LINKUSDT","SELL","6.78","2.56LINK","17.3568USDT","0.0173568USDT"
"2022-06-27 12:45:43","LINKUSDT","SELL","6.78","2.63LINK","17.8314USDT","0.0178314USDT"
"2022-06-27 12:29:44","AVAXUSDT","BUY","20.73","9.08AVAX","188.2284USDT","0.00908AVAX"
"2022-06-27 12:29:26","LINKUSDT","BUY","6.81","10LINK","68.1USDT","0.01LINK"
"2022-05-26 17:01:34","AVAXUSDT","SELL","25.21","1.32AVAX","33.2772USDT","0.0332772USDT"
"2022-05-26 17:01:34","AVAXUSDT","SELL","25.21","22AVAX","554.62USDT","0.55462USDT"
"2022-05-26 17:01:34","AVAXUSDT","SELL","25.21","8.68AVAX","218.8228USDT","0.2188228USDT"
"2022-05-20 16:38:35","EURUSDT","BUY","1.056","44.3EUR","46.7808USDT","0.0443EUR"
"2022-05-20 16:04:56","EURUSDT","BUY","1.056","188.8EUR","199.3728USDT","0.1888EUR"
"2022-05-12 10:39:05","AVAXUSDT","SELL","28.71","13AVAX","373.23USDT","0.00108286BNB"
"2022-05-10 11:38:51","EURUSDT","BUY","1.056","26.3EUR","27.7728USDT","0.0000641BNB"
"2022-05-10 10:55:22","ETHUSDT","SELL","2375.81","0.045ETH","106.91145USDT","0.10691145USDT"
"2022-05-10 10:54:54","BUSDUSDT","SELL","1.0002","563BUSD","563.1126USDT","0BNB"
"2022-05-10 10:54:31","AVAXBUSD","SELL","46.95","3.05AVAX","143.1975BUSD","0.1431975BUSD"
"2022-05-10 10:54:31","AVAXBUSD","SELL","46.95","6.88AVAX","323.016BUSD","0.323016BUSD"
"2022-05-10 10:54:31","AVAXBUSD","SELL","46.94","0.9AVAX","42.246BUSD","0.042246BUSD"
"2022-05-10 10:54:31","AVAXBUSD","SELL","46.95","1.17AVAX","54.9315BUSD","0.0549315BUSD"
"2022-04-28 13:20:09","BUSDUSDT","SELL","1","1158BUSD","1158USDT","0BNB"
"2022-04-28 13:19:40","ETHBUSD","SELL","2896.86","0.2861ETH","828.791646BUSD","0.82879165BUSD"
"2022-04-28 13:19:40","ETHBUSD","SELL","2896.86","0.1143ETH","331.111098BUSD","0.3311111BUSD"
"2022-04-28 13:19:32","AVAXUSDT","SELL","68.69","1.5AVAX","103.035USDT","0.103035USDT"
"2022-03-30 11:40:56","AVAXUSDT","BUY","92.73","0.12AVAX","11.1276USDT","0.00001903BNB"
"2022-03-29 17:06:27","EURUSDT","BUY","1.107","93.9EUR","103.9473USDT","0.00017992BNB"
"2022-03-18 17:56:21","EURUSDT","BUY","1.105","326.8EUR","361.114USDT","0.3268EUR"
"2022-03-18 17:01:16","BNBUSDT","SELL","395.3","0.076BNB","30.0428USDT","0.00005711BNB"
"2022-03-18 12:05:54","EURUSDT","BUY","1.102","360EUR","396.72USDT","0.36EUR"
"2022-03-18 06:59:07","XMRUSDT","SELL","190.8","0.163XMR","31.1004USDT","0.0311004USDT"
"2022-02-14 14:26:55","AVAXUSDT","SELL","81.9","0.97AVAX","79.443USDT","0.079443USDT"
"2022-01-23 13:19:52","EURUSDT","BUY","1.13","12.2EUR","13.786USDT","0.0122EUR"
"2022-01-17 12:39:39","MATICUSDT","SELL","2.327","4.6MATIC","10.7042USDT","0.00001672BNB"
"2022-01-14 16:35:52","BNBUSDT","SELL","481.5","0.034BNB","16.371USDT","0.00002549BNB"
"2022-01-13 13:09:09","EURBUSD","BUY","1.146","15.7EUR","17.9922BUSD","0.00002793BNB"
"2022-01-11 20:22:44","AVAXUSDT","SELL","89.62","0.48AVAX","43.0176USDT","0.00007001BNB"
"2022-01-11 19:38:41","AVAXUSDT","SELL","89.19","0.21AVAX","18.7299USDT","0.00003063BNB"
"2022-01-10 09:39:38","MATICUSDT","SELL","2.105","4.9MATIC","10.3145USDT","0.00001759BNB"
"2021-12-29 02:23:41","BNBUSDT","SELL","537.7","0.019BNB","10.2163USDT","0.00001424BNB"
"2021-12-28 11:26:40","XMRUSDT","BUY","219.1","0.747XMR","163.6677USDT","0.00022275BNB"
"2021-12-18 04:13:12","AVAXUSDT","SELL","108.44","0.15AVAX","16.266USDT","0.016266USDT"
"2021-12-17 20:11:17","AVAXUSDT","SELL","112.25","1AVAX","112.25USDT","0.11225USDT"
"2021-12-12 17:11:59","EURUSDT","BUY","1.129","14.6EUR","16.4834USDT","0.0146EUR"
"2021-12-12 01:07:49","QIUSDT","SELL","0.1574","2088QI","328.6512USDT","0.3286512USDT"
"2021-12-07 18:49:58","AVAXUSDT","SELL","92.53","0.17AVAX","15.7301USDT","0.0157301USDT"
"2021-12-04 16:24:43","AVAXUSDT","SELL","91.46","0.29AVAX","26.5234USDT","0.0265234USDT"
"2021-11-28 20:23:41","AVAXUSDT","SELL","107.21","1.97AVAX","211.2037USDT","0.2112037USDT"
"2021-11-28 17:30:10","AVAXUSDT","SELL","104.61","1.19AVAX","124.4859USDT","0.1244859USDT"
"2021-11-28 17:30:10","AVAXUSDT","SELL","104.59","3.77AVAX","394.3043USDT","0.3943043USDT"
"2021-11-28 17:30:10","AVAXUSDT","SELL","104.61","1.04AVAX","108.7944USDT","0.1087944USDT"
"2021-11-21 12:41:01","AVAXUSDT","SELL","136.4","1.5AVAX","204.6USDT","0.2046USDT"
"2021-11-21 12:41:01","AVAXUSDT","SELL","136.35","2.14AVAX","291.789USDT","0.291789USDT"
"2021-11-20 16:02:11","AVAXUSDT","SELL","117.91","3.3AVAX","389.103USDT","0.389103USDT"
"2021-11-20 16:02:11","AVAXUSDT","SELL","117.89","1.69AVAX","199.2341USDT","0.1992341USDT"
"2021-11-15 16:52:46","EURUSDT","BUY","1.141","13.1EUR","14.9471USDT","0.0131EUR"
"2021-11-02 08:47:45","AVAXEUR","SELL","56.58","1.01AVAX","57.1458EUR","0.0571458EUR"
"2021-10-28 11:19:42","AVAXUSDT","BUY","63.27","1.03AVAX","65.1681USDT","0.00103AVAX"
"2021-10-28 11:19:42","AVAXUSDT","BUY","63.28","30AVAX","1898.4USDT","0.03AVAX"
"2021-10-28 11:19:42","AVAXUSDT","BUY","63.28","35.77AVAX","2263.5256USDT","0.03577AVAX"
"2021-10-28 11:19:42","AVAXUSDT","BUY","63.27","2.37AVAX","149.9499USDT","0.00237AVAX"
"2021-10-28 11:19:42","AVAXUSDT","BUY","63.28","62.63AVAX","3963.2264USDT","0.06263AVAX"
"2021-10-28 11:19:42","AVAXUSDT","BUY","63.26","20AVAX","1265.2USDT","0.02AVAX"
"2021-10-28 11:19:42","AVAXUSDT","BUY","63.27","8.3AVAX","525.141USDT","0.0083AVAX"
"2021-10-13 05:21:53","EURUSDT","BUY","1.151","3.5EUR","4.0285USDT","0.00000646BNB"
"2021-10-13 05:21:53","EURUSDT","BUY","1.151","12.6EUR","14.5026USDT","0.00002328BNB"
"2021-09-29 13:44:57","AVAXUSDT","SELL","63.22","0.29AVAX","18.3338USDT","0.00003752BNB"
"2021-09-29 13:44:57","AVAXUSDT","SELL","63.22","0.56AVAX","35.4032USDT","0.00007246BNB"
"2021-09-11 00:15:55","MATICUSDT","SELL","1.308","10.2MATIC","13.3416USDT","0.00002471BNB"
"2021-09-03 11:06:14","MATICBUSD","SELL","1.454","100.5MATIC","146.127BUSD","0.146127BUSD"
"2021-09-02 09:33:50","MATICUSDT","SELL","1.474","58MATIC","85.492USDT","0.085492USDT"
"2021-09-02 09:33:50","MATICUSDT","SELL","1.474","385.2MATIC","567.7848USDT","0.5677848USDT"
"2021-09-02 09:33:50","MATICUSDT","SELL","1.474","835.1MATIC","1230.9374USDT","1.2309374USDT"
"2021-09-02 09:33:50","MATICUSDT","SELL","1.474","20.9MATIC","30.8066USDT","0.0308066USDT"
"2021-09-01 11:14:28","AVAXUSDT","SELL","43.21","0.58AVAX","25.0618USDT","0.0250618USDT"
"2021-08-31 08:40:53","AVAXUSDT","SELL","43.88","0.99AVAX","43.4412USDT","0.0434412USDT"
"2021-08-30 22:36:09","AVAXUSDT","BUY","42.72","0.24AVAX","10.2528USDT","0.00024AVAX"
"2021-08-28 22:31:35","EURBUSD","SELL","1.171","103.2EUR","120.8472BUSD","0.1208472BUSD"
"2021-08-28 22:31:35","EURBUSD","SELL","1.171","37.1EUR","43.4441BUSD","0.0434441BUSD"
"2021-08-28 22:21:16","EURBUSD","BUY","1.172","140.6EUR","164.7832BUSD","0.1406EUR"
"2021-08-12 19:49:00","MATICUSDT","SELL","1.34123","14.7MATIC","19.716081USDT","0.01971608USDT"
"2021-08-05 16:23:02","BNBEUR","SELL","282.58","0.0789BNB","22.295562EUR","0.00005907BNB"
"2021-08-05 16:23:02","BNBEUR","SELL","282.63","0.0009BNB","0.254367EUR","0.00000066BNB"
"2021-08-05 16:22:36","BNBRUB","BUY","24365.9","0.018BNB","438.5862RUB","0.0000135BNB"
"2021-08-05 16:22:36","BNBRUB","BUY","24365.9","0.061BNB","1486.3199RUB","0.00004575BNB"
"2021-08-05 16:07:28","BNBRUB","SELL","24349.15","0.08BNB","1947.932RUB","0.00006001BNB"
"2021-07-30 22:48:36","AVAXUSDT","SELL","12.89","1.259AVAX","16.22851USDT","0.00003795BNB"
"2021-07-30 16:53:57","AVAXUSDT","BUY","12.244","1.391AVAX","17.031404USDT","0.0000409BNB"
"2021-07-29 10:54:43","USDTIDRT","BUY","14504","116.91USDT","1695662.64IDRT","0.11691USDT"
"2021-07-29 10:54:43","USDTIDRT","BUY","14504","34.47USDT","499952.88IDRT","0.03447USDT"
"2021-07-29 10:54:43","USDTIDRT","BUY","14504","34.47USDT","499952.88IDRT","0.03447USDT"
"2021-07-29 10:54:43","USDTIDRT","BUY","14504","34.47USDT","499952.88IDRT","0.03447USDT"
"2021-07-29 10:54:43","USDTIDRT","BUY","14504","33.55USDT","486609.2IDRT","0.03355USDT"
"2021-07-29 10:51:41","BTCIDRT","SELL","579483814","0.006361BTC",,"3686.1IDRT"
"2021-07-29 07:32:35","BTCUSDT","BUY","40076.48","0.009181BTC","367.94216288USDT","0.00000918BTC"
"2021-07-19 15:12:57","BTCUSDT","SELL","30929.99","0.002694BTC","83.32539306USDT","0.08332539USDT"
"2021-07-14 19:00:10","AVAXUSDT","BUY","11.907","2.154AVAX","25.647678USDT","0.002154AVAX"
"2021-07-09 17:17:06","AVAXBNB","BUY","0.03972","1.7AVAX","0.067524BNB","0.00005052BNB"
"2021-07-09 16:14:41","LTCUSDT","SELL","135.04","0.67491LTC","91.1398464USDT","0.00021672BNB"
"2021-07-09 16:14:19","LTCBNB","SELL","0.4287","0.201LTC","0.0861687BNB","0.00006462BNB"
"2021-07-05 21:00:02","ETHUSDT","SELL","2215.85","0.00677ETH","15.0013045USDT","0.00003724BNB"
"2021-07-05 21:00:02","ETHUSDT","SELL","2215.85","0.00228ETH","5.052138USDT","0.00001254BNB"
"2021-07-05 15:44:11","AVAXUSDT","SELL","11.907","1.046AVAX","12.454722USDT","0.01245472USDT"
"2021-07-05 12:10:40","AVAXUSDT","SELL","11.661","2.255AVAX","26.295555USDT","0.02629556USDT"
"2021-07-04 10:11:51","AVAXUSDT","BUY","11.895","3AVAX","35.685USDT","0.003AVAX"
"2021-06-29 13:32:15","LTCUSDT","SELL","147.54","0.1938LTC","28.593252USDT","0.02859325USDT"
"2021-06-29 13:32:15","LTCUSDT","SELL","147.55","0.13552LTC","19.995976USDT","0.01999598USDT"
"2021-06-28 19:25:41","AVAXUSDT","SELL","11.26","0.889AVAX","10.01014USDT","0.00002545BNB"
"2021-06-28 19:25:41","AVAXUSDT","SELL","11.26","0.646AVAX","7.27396USDT","0.00001849BNB"
"2021-06-28 11:07:36","AVAXUSDT","BUY","10.785","1.553AVAX","16.749105USDT","0.001553AVAX"
"2021-06-27 13:46:41","AVAXUSDT","SELL","10.344","2.517AVAX","26.035848USDT","0.02603585USDT"
"2021-06-27 01:06:15","AVAXBTC","BUY","0.00032008","3.5AVAX","0.00112028BTC","0.0035AVAX"
"2021-06-25 22:52:11","BTCUSDT","SELL","31324.52","0.099164BTC","3106.26470128USDT","3.1062647USDT"
"2021-06-18 18:32:09","AVAXUSDT","SELL","13.352","1.301AVAX","17.370952USDT","0.01737095USDT"
"2021-06-18 15:32:50","AVAXUSDT","BUY","13.966","2.864AVAX","39.998624USDT","0.002864AVAX"
"2021-06-18 13:08:24","LTCUSDT","SELL","163.1","0.2951LTC","48.13081USDT","0.04813081USDT"
"2021-05-23 20:13:43","BTCUSDT","SELL","33568.41","0.00278BTC","93.3201798USDT","0.09332018USDT"
"2021-05-12 12:41:55","LTCUSDT","SELL","374.91","0.12739LTC","47.7597849USDT","0.04775978USDT"
"2021-05-01 17:10:34","BTCUSDT","SELL","57657.83","0.000855BTC","49.29744465USDT","0.04929744USDT"
"2021-05-01 17:10:22","DLTBTC","SELL","0.00000406","210DLT","0.0008526BTC","0.00000085BTC"
"2021-05-01 17:01:08","DLTBTC","BUY","0.00000462","1DLT","0.00000462BTC","0.0000003BNB"
"2021-05-01 17:01:08","DLTBTC","BUY","0.00000457","176DLT","0.00080432BTC","0.176DLT"
"2021-05-01 17:01:08","DLTBTC","BUY","0.00000467","34DLT","0.00015878BTC","0.034DLT"
"2021-05-01 17:01:01","BTCUSDT","BUY","57589.32","0.000972BTC","55.97681904USDT","0.00000097BTC"
"2021-04-25 10:43:31","LTCUSDT","SELL","224.96","0.10597LTC","23.8390112USDT","0.02383901USDT"
"2021-04-25 10:43:31","LTCUSDT","SELL","224.97","0.1035LTC","23.284395USDT","0.0232844USDT"
"2021-04-22 15:08:59","LTCUSDT","SELL","282.26","0.34107LTC","96.2704182USDT","0.09627042USDT"
"2021-04-17 07:17:14","ETHUSDT","SELL","2470.59","0.00549ETH","13.5635391USDT","0.01356354USDT"
"2021-04-17 07:17:14","ETHUSDT","SELL","2470.19","0.00053ETH","1.3092007USDT","0.0013092USDT"
"2021-04-17 07:17:14","ETHUSDT","SELL","2470.59","0.0052ETH","12.847068USDT","0.01284707USDT"
"2021-04-17 07:17:14","ETHUSDT","SELL","2470.59","0.0069ETH","17.047071USDT","0.00002394BNB"
"2021-04-17 07:17:14","ETHUSDT","SELL","2470.59","0.00415ETH","10.2529485USDT","0.0000144BNB"
"2021-04-17 07:17:14","ETHUSDT","SELL","2470.59","0.00644ETH","15.9105996USDT","0.00002234BNB"
"2021-04-17 07:17:14","ETHUSDT","SELL","2470.57","0.00603ETH","14.8975371USDT","0.01489754USDT"
"2021-04-17 07:17:14","ETHUSDT","SELL","2470.58","0.0081ETH","20.011698USDT","0.0200117USDT"
"2021-04-17 07:17:14","ETHUSDT","SELL","2470.59","0.00544ETH","13.4400096USDT","0.00001887BNB"
"2021-04-16 23:28:26","BTCUSDT","SELL","61588.45","0.001265BTC","77.90938925USDT","0.07790939USDT"
"2021-04-16 23:28:07","IDEXBTC","SELL","0.00000259","304IDEX","0.00078736BTC","0.00000079BTC"
"2021-04-16 23:28:07","IDEXBTC","SELL","0.00000259","150IDEX","0.0003885BTC","0.00000039BTC"
"2021-04-16 23:28:07","IDEXBTC","SELL","0.00000259","35IDEX","0.00009065BTC","0.00000009BTC"
"2021-04-04 09:31:38","AVAXUSDT","SELL","29.4361","0.56AVAX","16.484216USDT","0.00003602BNB"
"2021-04-04 01:18:23","BNBUSDT","BUY","326.8763","0.032BNB","10.4600416USDT","0.000024BNB"
"2021-04-03 18:56:36","BTCUSDT","SELL","58382.75","0.000292BTC","17.047763USDT","0.01704776USDT"
"2021-04-03 18:56:21","AVAXBTC","SELL","0.00050783","0.5AVAX","0.00025391BTC","0.00000025BTC"
"2021-03-28 02:21:11","BNBBTC","BUY","0.0048412","0.13BNB","0.00062935BTC","0.0000975BNB"
"2021-03-28 02:18:16","BTCUSDT","BUY","56000.02","0.000669BTC","37.46401338USDT","0.00000067BTC"
"2021-03-21 22:17:40","BTCUSDT","SELL","57728.39","0.0015BTC","86.592585USDT","0.08659259USDT"
"2021-03-12 18:44:37","LTCUSDT","SELL","211.74","0.02248LTC","4.7599152USDT","0.00001346BNB"
"2021-03-12 18:44:37","LTCUSDT","SELL","211.75","0.1LTC","21.175USDT","0.00005989BNB"
"2021-03-12 18:44:37","LTCUSDT","SELL","211.76","0.1LTC","21.176USDT","0.0000599BNB"
"2021-03-08 12:32:44","BUSDUSDT","SELL","0.9995","57.28BUSD","57.25136USDT","0BNB"
"2021-03-08 12:21:50","IDEXBUSD","SELL","0.07477","766.9IDEX","57.341113BUSD","0.05734111BUSD"
"2021-03-04 22:15:17","BNBUSDT","BUY","228.1999","0.159BNB","36.2837841USDT","0.00011925BNB"
"2021-03-01 21:40:33","BNBUSDT","BUY","246.4871","0.179BNB","44.1211909USDT","0.00013425BNB"
"2021-03-01 18:52:01","BTCUSDT","SELL","48494.59","0.005099BTC","247.27391441USDT","0.24727391USDT"
"2021-03-01 15:02:31","ETHUSDT","BUY","1533.58","0.03837ETH","58.8434646USDT","0.00003837ETH"
"2021-03-01 05:32:10","BNBUSDT","BUY","222.6018","0.136BNB","30.2738448USDT","0.000102BNB"
"2021-02-28 21:20:36","BNBUSDT","BUY","207.9808","0.206BNB","42.8440448USDT","0.0001545BNB"
"2021-02-28 04:11:34","BNBUSDT","BUY","211.9771","0.194BNB","41.1235574USDT","0.0001455BNB"
"2021-02-27 00:24:13","BTCUSDT","SELL","46692.92","0.013663BTC","637.96536596USDT","0.00211284BNB"
"2021-02-11 16:39:12","BTCUSDT","SELL","47528.49","0.001006BTC","47.81366094USDT","0.00029286BNB"
"2021-02-11 16:39:12","BTCUSDT","SELL","47533.68","0.000003BTC","0.14260104USDT","0.00000087BNB"
"2021-02-06 22:15:00","ETHUSDT","SELL","1710.39","0.00084ETH","1.4367276USDT","0.00001472BNB"
"2021-02-06 22:15:00","ETHUSDT","SELL","1710.38","0.03851ETH","65.8667338USDT","0.000675BNB"
"2021-01-30 18:06:48","BTCUSDT","SELL","34167.79","0.015142BTC","517.36867618USDT","0.51736868USDT"
"2020-09-08 09:50:58","BNBUSDT","SELL","22.0298","1.4BNB","30.84172USDT","0.00104796BNB"
"2018-02-21 11:57:51","NANOBNB","SELL","0.82","1.59NANO","1.3038BNB","0.00019557BNB"
"2018-02-06 09:37:52","NANOBTC","BUY","0.00116","1.6NANO","0.001856BTC","0.0016NANO"
"2018-02-06 09:36:39","ARKBTC","SELL","0.0004269","4.36ARK","0.00186128BTC","0.00000186BTC"
"2018-02-02 09:11:30","DGDETH","BUY","0.541","0.065DGD","0.035165ETH","0.000065DGD"
"2018-02-01 00:05:57","IOSTETH","SELL","0.00005074","701IOST","0.03556874ETH","0.00003557ETH"
"2018-01-25 20:56:38","IOSTETH","BUY","0.00010102","702IOST","0.07091604ETH","0.702IOST"
"2018-01-25 20:53:06","TRXETH","SELL","0.00006441","409TRX","0.02634369ETH","0.00002634ETH"
"2018-01-25 20:53:04","TRXETH","SELL","0.00006441","20TRX","0.0012882ETH","0.00000129ETH"
"2018-01-25 20:53:01","TRXETH","SELL","0.00006441","32TRX","0.00206112ETH","0.00000206ETH"
"2018-01-25 20:47:29","TRXETH","SELL","0.00006441","641TRX","0.04128681ETH","0.00004129ETH"
"2018-01-13 13:37:25","TRXETH","BUY","0.00008184","1104TRX","0.09035136ETH","1.104TRX"
"2018-01-13 13:36:49","APPCETH","SELL","0.0019473","45APPC","0.0876285ETH","0.00008763ETH"
"2018-01-09 17:59:58","APPCETH","BUY","0.002841","46APPC","0.130686ETH","0.046APPC"
"2018-01-09 17:59:40","CMTETH","SELL","0.00043944","304CMT","0.13358976ETH","0.00013359ETH"
"2018-01-05 19:00:45","CMTETH","BUY","0.00046544","305CMT","0.1419592ETH","0.305CMT"
"2018-01-05 18:46:15","LSKETH","SELL","0.025263","2.02LSK","0.05103126ETH","0.00005103ETH"
"2018-01-05 18:46:15","LSKETH","SELL","0.0256","1LSK","0.0256ETH","0.0000256ETH"
"2018-01-05 18:45:42","GTOETH","SELL","0.00059","111GTO","0.06549ETH","0.00006549ETH"
"2018-01-01 02:38:30","ARKETH","BUY","0.009274","4.37ARK","0.04052738ETH","0.00437ARK"
"2018-01-01 02:36:49","GTOETH","BUY","0.000381","34GTO","0.012954ETH","0.034GTO"
"2018-01-01 02:36:49","GTOETH","BUY","0.0003706","15GTO","0.005559ETH","0.015GTO"
"2018-01-01 02:36:49","GTOETH","BUY","0.00036888","23GTO","0.00848424ETH","0.023GTO"
"2018-01-01 02:36:49","GTOETH","BUY","0.0003755","40GTO","0.01502ETH","0.04GTO"
"2018-01-01 00:07:37","LSKETH","BUY","0.02725","3.03LSK","0.0825675ETH","0.00303LSK"
